,activation,learning_rate,max_iters,population,mutation,decay_rates,max_attempts,clip,y_train_roc,y_test_roc,runtime,loss
0,relu,1,100,100,0.1,0.92,10,10,0.5447619047619048,0.5322222222222222,24.692378997802734,23.58505016681044
1,relu,1,100,200,0.1,0.92,10,10,0.559047619047619,0.5477777777777777,69.76675295829773,22.84493352977664
2,relu,1,100,300,0.1,0.92,10,10,0.5795238095238094,0.5566666666666666,85.57632279396057,21.78409968336152
3,relu,1,100,400,0.1,0.92,10,10,0.5757142857142857,0.5833333333333334,205.86548376083374,21.981464119903873
4,relu,1,100,500,0.1,0.92,10,10,0.5980952380952381,0.6166666666666667,289.2613146305084,20.821948055217582
5,relu,1,100,600,0.1,0.92,10,10,0.5804761904761905,0.5677777777777778,505.64417338371277,21.734758574225935
6,relu,1,100,700,0.1,0.92,10,10,0.5785714285714286,0.5766666666666667,374.9603714942932,21.83344079249711
7,relu,1,100,800,0.1,0.92,10,10,0.5766666666666667,0.5677777777777778,189.59056901931763,21.932123010768287
8,relu,1,100,900,0.1,0.92,10,10,0.5871428571428572,0.591111111111111,720.3475322723389,21.38937081027683
9,relu,1,100,1000,0.1,0.92,10,10,0.5804761904761905,0.5744444444444444,554.0300981998444,21.734758574225935
10,relu,1,100,100,0.1,0.92,50,10,0.5766666666666667,0.5544444444444444,170.8015661239624,21.932123010768287
11,relu,1,100,200,0.1,0.92,50,10,0.57,0.5655555555555556,300.5148575305939,22.277510774717392
12,relu,1,100,300,0.1,0.92,50,10,0.5795238095238094,0.5566666666666666,343.0344572067261,21.78409968336152
13,relu,1,100,400,0.1,0.92,50,10,0.5876190476190477,0.5877777777777778,836.7300684452057,21.364700255709035
14,relu,1,100,500,0.1,0.92,50,10,0.5980952380952381,0.6166666666666667,719.2354030609131,20.821948055217582
15,relu,1,100,600,0.1,0.92,50,10,0.5804761904761905,0.5677777777777778,1023.377076625824,21.734758574225935
16,relu,1,100,700,0.1,0.92,50,10,0.5838095238095239,0.5633333333333334,1536.4892177581787,21.562064692251386
17,relu,1,100,800,0.1,0.92,50,10,0.5833333333333333,0.5944444444444444,1818.5354971885681,21.586735246819178
18,relu,1,100,900,0.1,0.92,50,10,0.5871428571428572,0.591111111111111,1580.0123882293701,21.38937081027683
19,relu,1,100,1000,0.1,0.92,50,10,0.5895238095238096,0.58,2194.6961476802826,21.266018037437863
20,relu,1,100,100,0.1,0.92,100,10,0.5766666666666667,0.5544444444444444,236.29916191101074,21.932123010768287
21,relu,1,100,200,0.1,0.92,100,10,0.5747619047619048,0.5533333333333335,458.7578868865967,22.03080522903946
22,relu,1,100,300,0.1,0.92,100,10,0.5914285714285714,0.5888888888888889,700.2142622470856,21.16733581916669
23,relu,1,100,400,0.1,0.92,100,10,0.5876190476190477,0.5877777777777778,919.4949712753296,21.364700255709035
24,relu,1,100,500,0.1,0.92,100,10,0.5980952380952381,0.6166666666666667,1075.0856521129608,20.821948055217582
25,relu,1,100,600,0.1,0.92,100,10,0.5804761904761905,0.5677777777777778,1303.088981628418,21.734758574225935
26,relu,1,100,700,0.1,0.92,100,10,0.5838095238095239,0.5633333333333334,1501.9279153347015,21.562064692251386
27,relu,1,100,800,0.1,0.92,100,10,0.5833333333333333,0.5944444444444444,1720.6458191871643,21.586735246819178
28,relu,1,100,900,0.1,0.92,100,10,0.5871428571428572,0.591111111111111,1926.9093599319458,21.38937081027683
29,relu,1,100,1000,0.1,0.92,100,10,0.5895238095238096,0.58,2060.0271627902985,21.266018037437863
30,relu,5,100,100,0.1,0.92,10,10,0.5447619047619048,0.5322222222222222,23.364275455474854,23.58505016681044
31,relu,5,100,200,0.1,0.92,10,10,0.559047619047619,0.5477777777777777,67.93533945083618,22.84493352977664
32,relu,5,100,300,0.1,0.92,10,10,0.5795238095238094,0.5566666666666666,83.80792379379272,21.78409968336152
33,relu,5,100,400,0.1,0.92,10,10,0.5757142857142857,0.5833333333333334,200.5812909603119,21.981464119903873
34,relu,5,100,500,0.1,0.92,10,10,0.5980952380952381,0.6166666666666667,273.95485734939575,20.821948055217582
35,relu,5,100,600,0.1,0.92,10,10,0.5804761904761905,0.5677777777777778,486.6608872413635,21.734758574225935
36,relu,5,100,700,0.1,0.92,10,10,0.5785714285714286,0.5766666666666667,376.04992604255676,21.83344079249711
37,relu,5,100,800,0.1,0.92,10,10,0.5766666666666667,0.5677777777777778,185.012775182724,21.932123010768287
38,relu,5,100,900,0.1,0.92,10,10,0.5871428571428572,0.591111111111111,678.7742657661438,21.38937081027683
39,relu,5,100,1000,0.1,0.92,10,10,0.5804761904761905,0.5744444444444444,533.6925077438354,21.734758574225935
40,relu,5,100,100,0.1,0.92,50,10,0.5766666666666667,0.5544444444444444,164.87122797966003,21.932123010768287
41,relu,5,100,200,0.1,0.92,50,10,0.57,0.5655555555555556,288.03603768348694,22.277510774717392
42,relu,5,100,300,0.1,0.92,50,10,0.5795238095238094,0.5566666666666666,318.17084217071533,21.78409968336152
43,relu,5,100,400,0.1,0.92,50,10,0.5876190476190477,0.5877777777777778,810.1499214172363,21.364700255709035
44,relu,5,100,500,0.1,0.92,50,10,0.5980952380952381,0.6166666666666667,691.744217634201,20.821948055217582
45,relu,5,100,600,0.1,0.92,50,10,0.5804761904761905,0.5677777777777778,1031.6617386341095,21.734758574225935
46,relu,5,100,700,0.1,0.92,50,10,0.5838095238095239,0.5633333333333334,1626.206545829773,21.562064692251386
47,relu,5,100,800,0.1,0.92,50,10,0.5833333333333333,0.5944444444444444,1826.4344782829285,21.586735246819178
48,relu,5,100,900,0.1,0.92,50,10,0.5871428571428572,0.591111111111111,1628.8415803909302,21.38937081027683
49,relu,5,100,1000,0.1,0.92,50,10,0.5895238095238096,0.58,2359.0336344242096,21.266018037437863
50,relu,5,100,100,0.1,0.92,100,10,0.5766666666666667,0.5544444444444444,251.188374042511,21.932123010768287
51,relu,5,100,200,0.1,0.92,100,10,0.5747619047619048,0.5533333333333335,495.27694725990295,22.03080522903946
52,relu,5,100,300,0.1,0.92,100,10,0.5914285714285714,0.5888888888888889,729.2738015651703,21.16733581916669
53,relu,5,100,400,0.1,0.92,100,10,0.5876190476190477,0.5877777777777778,1009.6328554153442,21.364700255709035
54,relu,5,100,500,0.1,0.92,100,10,0.5980952380952381,0.6166666666666667,1251.2929759025574,20.821948055217582
55,relu,5,100,600,0.1,0.92,100,10,0.5804761904761905,0.5677777777777778,1475.9345116615295,21.734758574225935
56,relu,5,100,700,0.1,0.92,100,10,0.5838095238095239,0.5633333333333334,1735.6267039775848,21.562064692251386
57,relu,5,100,800,0.1,0.92,100,10,0.5833333333333333,0.5944444444444444,1905.9058196544647,21.586735246819178
58,relu,5,100,900,0.1,0.92,100,10,0.5871428571428572,0.591111111111111,1856.956738948822,21.38937081027683
59,relu,5,100,1000,0.1,0.92,100,10,0.5895238095238096,0.58,2007.6725022792816,21.266018037437863
60,relu,10,100,100,0.1,0.92,10,10,0.5447619047619048,0.5322222222222222,23.23324489593506,23.58505016681044
61,relu,10,100,200,0.1,0.92,10,10,0.559047619047619,0.5477777777777777,68.37243914604187,22.84493352977664
62,relu,10,100,300,0.1,0.92,10,10,0.5795238095238094,0.5566666666666666,83.36882424354553,21.78409968336152
63,relu,10,100,400,0.1,0.92,10,10,0.5757142857142857,0.5833333333333334,202.31768345832825,21.981464119903873
64,relu,10,100,500,0.1,0.92,10,10,0.5980952380952381,0.6166666666666667,281.9856827259064,20.821948055217582
65,relu,10,100,600,0.1,0.92,10,10,0.5804761904761905,0.5677777777777778,496.09068965911865,21.734758574225935
66,relu,10,100,700,0.1,0.92,10,10,0.5785714285714286,0.5766666666666667,380.6189570426941,21.83344079249711
67,relu,10,100,800,0.1,0.92,10,10,0.5766666666666667,0.5677777777777778,184.22559809684753,21.932123010768287
68,relu,10,100,900,0.1,0.92,10,10,0.5871428571428572,0.591111111111111,676.3247129917145,21.38937081027683
69,relu,10,100,1000,0.1,0.92,10,10,0.5804761904761905,0.5744444444444444,527.3170695304871,21.734758574225935
70,relu,10,100,100,0.1,0.92,50,10,0.5766666666666667,0.5544444444444444,163.94552278518677,21.932123010768287
71,relu,10,100,200,0.1,0.92,50,10,0.57,0.5655555555555556,288.1050887107849,22.277510774717392
72,relu,10,100,300,0.1,0.92,50,10,0.5795238095238094,0.5566666666666666,327.6999969482422,21.78409968336152
73,relu,10,100,400,0.1,0.92,50,10,0.5876190476190477,0.5877777777777778,799.1514558792114,21.364700255709035
74,relu,10,100,500,0.1,0.92,50,10,0.5980952380952381,0.6166666666666667,692.0222570896149,20.821948055217582
75,relu,10,100,600,0.1,0.92,50,10,0.5804761904761905,0.5677777777777778,983.5271050930023,21.734758574225935
76,relu,10,100,700,0.1,0.92,50,10,0.5838095238095239,0.5633333333333334,1419.6258473396301,21.562064692251386
